year,male,woman,total
1941,4560875,4755199,9316074
1949,4423420,4781379,9204799
1960,4804043,5157001,9961044
1970,5003651,5318448,10322099
1980,5188709,5520754,10709463
1990,4984904,5389919,10374823
2001,4851012,5349286,10200298
2002,4836980,5337873,10174853
2003,4818456,5323906,10142362
2004,4804113,5312629,10116742
2005,4793115,5304434,10097549
2006,4784579,5292002,10076581
2007,4779078,5287080,10066158
2008,4769562,5275839,10045401
2009,4763050,5267925,10030975
2010,4756900,5257424,10014324
2011,4743901,5241821,9985722
2012,4724666,5207259,9931925
2013,4713025,5182225,9895250
2014,4697447,5152770,9850217
2015,4687436,5128422,9815858
2016,4678478,5101174,9779652
2017,4663753,5076104,9739857
2018,4658683,5054972,9713655
2019,4660856,5039416,9700272
2020,4663876,5025500,9689376
2021,4647359,5004102,9651461
2022,4628875,4981528,9610403
2023,4625260,4974484,9599744
2024,4623378,4961249,9584627
2025,4606000,4934000,9540000
